Categoría,Fecha,Hora,Estudiante,Precio,Dirección,Plus code,Razón no captura de datos,Categorias/observaciones,Promedio,mediana,moda,desviación estandar,valor máximo,valor mínimo,Número de datos,nombre del estudiante sin tilde,categoria sin tilde,direccion sin tilde
Arepa,15/02/2019,14:00,Andrés,7900,calle19#6-50,67p7jw4h+3h,,arepa de huevo,,,,,,,,Andres,arepa de huevo,calle19#6-50
Arepa,15/02/2019,14:00,Daniela,8400,calle19#6-50,67p7jw4h+3h,,arepa mixta,,,,,,,,Daniela,arepa mixta,calle19#6-50
Arepa,15/02/2019,14:12,Andrés,13900,calle19#6-40,67p7jw4h+2j,,arepa de pollo y carne,,,,,,,,Andres,arepa de pollo y carne,calle19#6-40
Arepa,15/02/2019,14:12,Daniela,8900,calle19#6-40,67p7jw4h+2j,,arepa mixta,,,,,,,,Daniela,arepa mixta,calle19#6-40
Arepa,15/02/2019,14:12,Andrés,3500,calle19#6-40,67p7jw4h+2j,,arepa de pollo y carne,,,,,,,,Andres,arepa de pollo y carne,calle19#6-40
Arepa,15/02/2019,14:17,Daniela,1800,calle19#5-27,67p7jw4h+3w,,arepa de huevo,,,,,,,,Daniela,arepa de huevo,calle19#5-27
Arepa,15/02/2019,14:25,Andrés,2000,carrera 4#19-19,67p7jw3j+gf,,arepa de queso,,,,,,,,Andres,arepa de queso,carrera 4#19-19
Arepa,15/02/2019,14:25,Daniela,2500,carrera 4#19-19,67p7jw3j+gf,,arepa con queso y jamón,,,,,,,,Daniela,arepa con queso y jamon,carrera 4#19-19
Arepa,15/02/2019,14:25,Andrés,5000,carrera 4#19-19,67p7jw3j+gf,,arepa con pollo,,,,,,,,Andres,arepa con pollo,carrera 4#19-19
Arepa,15/02/2019,14:25,Daniela,5000,carrera 4#19-19,67p7jw3j+gf,,arepa con carne,,,,,,,,Daniela,arepa con carne,carrera 4#19-19
Arepa,15/02/2019,14:28,Andrés,1100,carrera 4 #19-58,67p7jw35+fg,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera 4 #19-58
Arepa,01/03/2019,11:20,Daniela,1400,calle 12#6-29,67p7hwxg+f8,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,calle 12#6-29
Arepa,01/03/2019,11:32,Daniela,2000,calle10#4-10,67p7hwwg+8j,,arepa con queso,,,,,,,,Daniela,arepa con queso,calle10#4-10
Arepa,01/03/2019,11:32,Daniela,4000,calle10#4-10,67p7hwwg+8j,,arepa con carne,,,,,,,,Daniela,arepa con carne,calle10#4-10
Arepa,01/03/2019,11:34,Daniela,1500,calle10#3-81,67p7hwwg+7q,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,calle10#3-81
Arepa,01/03/2019,11:35,Daniela,1700,calle10#3-44,67p7hwwg+4x,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,calle10#3-44
Arepa,01/03/2019,11:47,Daniela,2000,carrera5#10-87,67p7hwwg+ph,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,carrera5#10-87
Arepa,01/03/2019,11:56,Daniela,3000,calle11#6-04,67p7hwxg+26,,arepa de maíz con queso,,,,,,,,Daniela,arepa de maiz con queso,calle11#6-04
Arepa,01/03/2019,11:58,Daniela,3000,calle11#6-19,67p7hwxg+44,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,calle11#6-19
Arepa,01/03/2019,12:01,Daniela,3000,calle6#6-30,67p7hwx7+5x,,arepa de maíz,,,,,,,,Daniela,arepa de maiz,calle6#6-30
Arepa,01/03/2019,12:02,Daniela,16000,calle11#6-42,67p7hwxg+55,,arepa de choclo,,,,,,,,Daniela,arepa de choclo,calle11#6-42
Arepa,01/03/2019,12:09,Daniela,2200,carrera 7 #11-90,67p7hwxf+hx,,arepa con queso,,,,,,,,Daniela,arepa con queso,carrera 7 #11-90
Arepa,01/03/2019,12:09,Daniela,2500,carrera 7 #11-90,67p7hwxf+hx,,arepa de choclo,,,,,,,,Daniela,arepa de choclo,carrera 7 #11-90
Arepa,01/03/2019,12:11,Daniela,2200,calle 12#6-41,67p7hwxg+j5,,arepa de choclo,,,,,,,,Daniela,arepa de choclo,calle 12#6-41
Arepa,01/03/2019,12:13,Daniela,2500,calle12#6-75,67p7hwxg+g6,,arepa de choclo,,,,,,,,Daniela,arepa de choclo,calle12#6-75
Arepa,01/03/2019,12:15,Daniela,1200,calle 12#6-56 L-8,67p7hwxg+h8,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,calle 12#6-56 L-8
Arepa,01/03/2019,12:15,Daniela,1000,calle 12#6-56 L-9,67p7hwxg+h8,,arepa de queso,,,,,,,,Daniela,arepa de queso,calle 12#6-56 L-9
Arepa,01/03/2019,12:17,Daniela,2500,calle 12#6-30,67p7hwxg+f8,,arepa de choclo,,,,,,,,Daniela,arepa de choclo,calle 12#6-30
Arepa,01/03/2019,12:17,Daniela,1500,calle 12#6-30,67p7hwxg+f8,,arepa de huevo,,,,,,,,Daniela,arepa de huevo,calle 12#6-30
Arepa,01/03/2019,12:19,Daniela,1000,calle 12#6-26,67p7hwxg+g9,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,calle 12#6-26
Arepa,01/03/2019,12:23,Daniela,2500,carrera 6#11-46,67p7hwxg+48,,arepa de maíz,,,,,,,,Daniela,arepa de maiz,carrera 6#11-46
Arepa,01/03/2019,12:25,Daniela,2000,calle 12#5-69,67p7hwxg+8h,,arepa de queso,,,,,,,,Daniela,arepa de queso,calle 12#5-69
Arepa,01/03/2019,12:28,Daniela,1500,calle12#5-38,67p7hwxg+7m,,arepa de maíz,,,,,,,,Daniela,arepa de maiz,calle12#5-38
Arepa,01/03/2019,11:15,Édgar,5000,calle 19#18-42 L-238,67p7jw69+gx,,arepa con hogao,,,,,,,,Edgar,arepa con hogao,calle 19#18-42 L-238
Arepa,01/03/2019,11:16,Édgar,2700,calle19#18-42 L-218,67p7jw69+gx,,arepa con queso,,,,,,,,Edgar,arepa con queso,calle19#18-42 L-218
Arepa,01/03/2019,11:38,Édgar,2600,calle 19#4-85,67p7jw3h+hw,,arepa de huevo,,,,,,,,Edgar,arepa de huevo,calle 19#4-85
Arepa,01/03/2019,11:38,Édgar,4200,calle 19#4-85,67p7jw3h+hw,,arepa con chorizo,,,,,,,,Edgar,arepa con chorizo,calle 19#4-85
Arepa,01/03/2019,11:40,Édgar,2200,calle 19#4-71 L-105,67p7jw3j+f3,,arepa con queso,,,,,,,,Edgar,arepa con queso,calle 19#4-71 L-105
Arepa,01/03/2019,11:45,Édgar,2000,carrera 4#18-53,67p7jw3j+f4,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera 4#18-53
Arepa,01/03/2019,11:53,Édgar,800,carrera 4#18-53,67p7jw3j+f4,,arepa con mantequilla,,,,,,,,Edgar,arepa con mantequilla,carrera 4#18-53
Arepa,01/03/2019,11:53,Édgar,1200,carrera 4#18-53,67p7jw3j+f4,,arepa con hogao,,,,,,,,Edgar,arepa con hogao,carrera 4#18-53
Arepa,01/03/2019,11:53,Édgar,1900,carrera 4#18-53,67p7jw3j+f4,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera 4#18-53
Arepa,01/03/2019,11:53,Édgar,4600,carrera 4#18-53,67p7jw3j+f4,,arepa con queso y champillon,,,,,,,,Edgar,arepa con queso y champillon,carrera 4#18-53
