Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:00:00;Juan Pablo Calderon;8500;Cra. 5 #16-47;JW2H+VF Bogotá;;Roast Pin/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:04:00;Juan Pablo Calderon;8500;Cra 5 #16-71;JW2H+W6 Bogotá;;Fogon Colombiano/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:08:00;Juan Pablo Calderon;8900;Cl. 19 #4-6, Bogotá;JW3J+FC Bogotá;;Viva la pizza/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:12:00;David Medina;12000;Cra. 5 #17-66, Bogotá;JW3H+7P Bogotá;;Gata naranja/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:16:00;Nicolas Alvarez;8000;Cra 5 #16-86;JW2H+W6 Bogotá;;Estrella del pan dorado;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:20:00;David Medina;9200;Calle 19 # 4-20 Local 7, Bogotá;;;Carnes Vacanas/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:24:00;Juan Pablo Calderon;9900;Ac. 19 #4-71, Bogotá;JW3J+H2 Bogotá;;Carnitas/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:28:00;David Medina;;Cl. 19 #4-27, Bogotá;JW3J+G6 Bogotá;;Moulin bleu/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:32:00;Nicolas Alvarez;8500;Cra. 4 #18-33;JW3J+48 Bogotá;;Makondo/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:36:00;Juan Pablo Calderon;;Cl. 18 #4-10, Bogotá;JW3J+37 Bogotá;;Champiñón de la 18/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:44:00;Juan Pablo Calderon;;Calle 20 #4-36;JW3J+WC Bogotá;;Frutos del Pacifico/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:48:00;David Medina;7500;Calle 17# 4 -07;JW2J+P2 Bogotá;;Donde Tatiana/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:52:00;Nicolas Alvarez;7000;Calle 17 #4-33;JW2H+RW Bogotá;;Food to go/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:56:00;Juan Pablo Calderon;8000;Calle 17 #4-45 ;JW2H+RW Bogotá;;Sabor urbano/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:48:00;David Medina;8000;Calle 17 #4-51;JW2H+RW Bogotá;;Mi Leidi/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:52:00;Nicolas Alvarez;6500;Calle 17 #4-65;JW2H+VR Bogotá;;Tia Jackie/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:56:00;Juan Pablo Calderon;5000;Calle 17# 4-65;JW2H+VR Bogotá;;Doña felia/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:48:00;David Medina;8500;Calle 17# 4-91;JW2H+XM Bogotá;;Parrilla con sazon/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:52:00;Nicolas Alvarez;16000;Calle 16 #4-33;JW2H+CV Bogotá;;Aborigen/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:56:00;Juan Pablo Calderon;9500;Calle 16 #4-27;JW2H+CW Bogotá;;Bendita sazon/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:48:00;David Medina;12500;Carrera 4 #12C-74;HWXH+WQ Bogotá;;Menta y miel/Del día;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:52:00;Nicolas Alvarez;;Carrera 4 #12C-34;HWXH+RM Bogotá;;T Bone/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;05/03/2019;12:56:00;Juan Pablo Calderon;9500;Carrera 5 #12B-32;HWXH+J3 Bogotá;;Maju/Del día;;;;;;;;;;;;;;;;;
