cat,date,time,estudent,price,address,pluscode,city,long_code,lat_long,gen,dum_gen,mov,dum_mov,Categorías/Observaciones
Minutos,4/03/2019,10:24:00,Juan Carlos González,"200,00",,JW4H+38,Bogotá,67P7JW4H+38,"4.6051875,-74.0716875",H,0,M,0,
Minutos,4/03/2019,10:26:00,Juan Carlos González,"200,00",,JW3H+J5,Bogotá,67P7JW3H+J5,"4.6040625,-74.0720625",M,1,F,1,
Minutos,4/03/2019,10:30:00,Juan Carlos González,"200,00",,JW3G+3X,Bogotá,67P7JW3G+3X,"4.6026875,-74.0725625",H,0,M,0,
Minutos,27/02/2019,9:52:00,Juan Martín Londoño,"200,00",calle 12 no 6-59,HWXG+H6,Bogotá,67P7HWXG+H6,"4.5989375,-74.0744375",,,F,0,
Minutos,27/02/2019,9:56:00,Juan Martín Londoño,"200,00",cra 6 no.12-27,HWXG+HG,Bogotá,67P7HWXG+HG,"4.5989375,-74.0736875",,,F,0,
Minutos,27/02/2019,10:01:00,Juan Martín Londoño,"200,00",Calle 12 No. 5-32,HWXG+7P,Bogotá,67P7HWXG+7P,"4.5981875,-74.0731875",,,F,0,
Minutos,27/02/2019,10:07:00,Juan Martín Londoño,"200,00",Call 12 no. 4-90,HWXG+4X,Bogotá,67P7HWXG+4X,"4.5978125,-74.0725625",,,F,0,
Minutos,27/02/2019,10:10:00,Juan Martín Londoño,"200,00",Cra4 no. 12-30,HWXH+36,Bogotá,67P7HWXH+36,"4.5976875,-74.0719375",,,F,0,
Minutos,27/02/2019,10:20:00,Juan Martín Londoño,"200,00",Cal 11 no. 9-33,HWWH+G4,Bogotá,67P7HWWH+G4,"4.5963125,-74.0721875",,,F,0,
Minutos,27/02/2019,10:21:00,Juan Martín Londoño,"300,00",calle 11 no. 3-99,HWWG+MV,Bogotá,67P7HWWG+MV,"4.5966875,-74.0728125",,,M,1,
Minutos,27/02/2019,10:27:00,Juan Martín Londoño,"200,00",cra 5 no. 11-83,HWWH+V3,Bogotá,67P7HWWH+V3,"4.5971875,-74.0723125",,,F,0,
Minutos,27/02/2019,11:30:00,Juan Martín Londoño,"200,00",Cl 11 cra 4,HWWG+VH,Bogotá,67P7HWWG+VH,"4.5971875,-74.0735625",,,M,1,
Minutos,27/02/2019,11:34:00,Juan Martín Londoño,"200,00",Cll11 cra 6,HWXG+36,Bogotá,67P7HWXG+36,"4.5976875,-74.0744375",,,M,1,
Minutos,27/02/2019,11:36:00,Juan Martín Londoño,"150,00",Cra 6 no 11-88,HWXG+89,Bogotá,67P7HWXG+89,"4.5983125,-74.0740625",,,F,0,
Minutos,27/02/2019,11:39:00,Juan Martín Londoño,"200,00",Cl 11 cr 7,HWXF+7R,Bogotá,67P7HWXF+7R,"4.5981875,-74.0754375",,,M,1,
Minutos,27/02/2019,11:40:00,Juan Martín Londoño,"200,00",Cl 11 cr 7,HWXF+7R,Bogotá,67P7HWXF+7R,"4.5981875,-74.0754375",,,M,1,
Minutos,27/02/2019,11:41:00,Juan Martín Londoño,"200,00",Cl 11 cr 7,HWXF+7R,Bogotá,67P7HWXF+7R,"4.5981875,-74.0754375",,,M,1,
Minutos,27/02/2019,11:45:00,Juan Martín Londoño,"200,00",cra 7 no 11-58,HWXF+FW,Bogotá,67P7HWXF+FW,"4.5986875,-74.0751875",,,F,0,
