Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;
Arepas;4/03/2019;10:11;Lisbeth Cuesta;1100;Cra 4 #19-58;67P7JW3J+PG ;;arepa con queso ;;
Arepas;4/03/2019;10:17;Lisbeth Cuesta;2500;Calle 19 #6-04;67P7JW3H+XM ;;arepa de huevo;;
Arepas;4/03/2019;10:18;Lisbeth Cuesta;2700;Calle 19 #6-58;67P7JW4H+5H ;;arepa con chorizo ;;
Arepas;4/03/2019;10:20;Lisbeth Cuesta;3500;Calle 19 #6-40;67P7JW4H+4H ;;arepa de huevo;;
Arepas;4/03/2019;10:20;Lisbeth Cuesta;3500;Calle 19 #6-40;67P7JW4H+4H ;;arepa de chocolo con queso;;
Arepas;4/03/2019;10:20;Lisbeth Cuesta;2500;Calle 19 #6-40;67P7JW4H+4H ;;arepa con queso;;
Arepas;4/03/2019;10:20;Lisbeth Cuesta;8900;Calle 19 #6-40;67P7JW4H+4H ;;arepa con pollo;;
Arepas;4/03/2019;10:20;Lisbeth Cuesta;8900;Calle 19 #6-40;67P7JW4H+4H ;;arepa con carne;;
Arepas;4/03/2019;10:25;Lisbeth Cuesta;2400;Calle 19  #6-54;67P7JW4H+5H ;;arepa de chocolo con queso;;
Arepas;4/03/2019;10:25;Lisbeth Cuesta;2000;Calle 19  #6-54;67P7JW4H+5H ;;arepa boyacense ;;
Arepas;4/03/2019;10:35;Lisbeth Cuesta;2000;Calle 19 #5;67P7JW3H+QR ;;arepa de huevo;;
Arepas;4/03/2019;10:35;Lisbeth Cuesta;2000;Estación aguas;67P7JW3J+2J ;;arepa de huevo;;
Arepas;4/03/2019;10:40;Lisbeth Cuesta;2000;Centro Colombo Americano;67P7JW3J+3W ;;arepa con queso y jamón;;
Arepas;4/03/2019;10:40;Lisbeth Cuesta;3000;Centro Colombo Americano;67P7JW3J+3W ;;arepa con queso y carne;;
Arepas;4/03/2019;10:40;Lisbeth Cuesta;1500;Centro Colombo Americano;67P7JW3J+3W ;;arepa con queso ;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;2800;calle 12c #5-23;67P7JW2H+27;;arepa con queso ;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;3200;calle 12c #5-23;67P7JW2H+27;;arepa con doble queso;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;5900;calle 12c #5-23;67P7JW2H+27;;arepa queso, pollo y jamon;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;5900;calle 12c #5-23;67P7JW2H+27;;arepa queso, carne y pollo ;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;5900;calle 12c #5-23;67P7JW2H+27;;arepa queso, carne y jamon ;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;5700;calle 12c #5-23;67P7JW2H+27;;arepa queso y carne desmechada;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;5700;calle 12c #5-23;67P7JW2H+27;;arepa ques y pollo desmechado;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;4400;calle 12c #5-23;67P7JW2H+27;;arepa jamon mortadela cordero;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;3700;calle 12c #5-23;67P7JW2H+27;;arepa jamon mortadela;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;5300;calle 12c #5-23;67P7JW2H+27;;arepa hawaiana;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;3400;calle 12c #5-23;67P7JW2H+27;;arepa con queso y cordero;;
Arepas;5/03/2019;5:10 PM;Nicolas Salas ;3200;calle 12c #5-23;67P7JW2H+27;;arepa con queso y jamón;;
Arepas;5/03/2019;5:15 PM;Nicolas Salas ;1000;Carrera 5 bis #12c-65;67P7JW2H+64;;arepa blanca;;
Arepas;5/03/2019;5:17 PM;Nicolas Salas ;2000;Carrera 5 bis #12c-25/ parqueadero;67P7JW2H+43;;arepa jamon y queso;;
Arepas;5/03/2019;5:17 PM;Nicolas Salas ;1400;Carrera 5 bis #12c-25/ parqueadero;67P7JW2H+43;;arepa jamon o queso;;
Arepas;5/03/2019;5:17 PM;Nicolas Salas ;1000;Carrera 5 bis #12c-25/ parqueadero;67P7JW2H+43;;arepa blanca;;
Arepas;5/03/2019;5:20 PM;Nicolas Salas ;1500;Sabores de Casa;67P7JW2H+32;;arepa con queso;;
Arepas;5/03/2019;5:22 PM;Nicolas Salas ;3500;Carrera 6a #14-21/La Plaguela;67P7JW2G+8P;;arepa gratinada con queso;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;6200;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa trifasica;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;4700;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa ranchera;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;4900;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa mixta;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;2300;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa jamon y queso;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;6800;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa con todo;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;3600;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa aborrajada;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;3900;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa con pollo;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;2500;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa con huevo;;
Arepas;5/03/2019;5:31 PM;Nicolas Salas ;3900;Carrera 6 #12c-38/Instan Juice;67P7JW2G+7W;;arepa con carne;;
Arepas;5/03/2019;5:45 PM;Nicolas Salas ;6500;Kaba;67P7JW2G+CH;;arepa con chorizo antioqueño;;
Arepas;5/03/2019;5:45 PM;Nicolas Salas ;6500;Kaba;67P7JW2G+CH;;arepa con chicharron ;;
Arepas;5/03/2019;5:45 PM;Nicolas Salas ;2500;Kaba;67P7JW2G+CH;;arepa chocolo, mantequilla y queso;;
Arepas;5/03/2019;5:55 PM;Nicolas Salas ;5000;Delicias colombianas;67P7JW2G+FH;;arepa jamon y queso;;
Arepas;5/03/2019;5:55 PM;Nicolas Salas ;3000;Delicias colombianas;67P7JW2G+FH;;arepa con queso;;
Arepas;5/03/2019;6:14 PM;Nicolas Salas ;3000;calle 7 #12c / puesto de arepas;67P7JW2G+8F;;arepa queso y pollo;;
Arepas;5/03/2019;6:14 PM;Nicolas Salas ;3000;calle 7 #12c / puesto de arepas;67P7JW2G+8F;;arepa queso y chorizo;;
Arepas;5/03/2019;6:14 PM;Nicolas Salas ;3000;calle 7 #12c / puesto de arepas;67P7JW2G+8F;;arepa queso y carne ;;
Arepas;5/03/2019;6:14 PM;Nicolas Salas ;3500;calle 7 #12c / puesto de arepas;67P7JW2G+8F;;arepa mixta;;
Arepas;5/03/2019;6:14 PM;Nicolas Salas ;2200;calle 7 #12c / puesto de arepas;67P7JW2G+8F;;arepa jamon y queso;;
Arepas;5/03/2019;6:14 PM;Nicolas Salas ;1500;calle 7 #12c / puesto de arepas;67P7JW2G+8F;;arepa con queso;;
Arepas;5/03/2019;6:20 PM;Nicolas Salas ;4000;calle 7 #12c / puesto de arepas;67P7JW2G+8F;;arepa con todo;;
Arepas;6/03/2019;10:00 AM;Nicolas Salas ;2000;calle 18 #6-45;67P7JW3H+M8;;arepa de huevo;;
Arepas;6/03/2019;10:00 AM;Nicolas Salas ;1000;calle 18 #6-45;67P7JW3H+M8;;arepa de queso y bocadillo;;
Arepas;6/03/2019;10:05 AM;Nicolas Salas ;2700;carrera 5 #18 39;67P7JW3H+9Q;;arepa de queso ;;
Arepas;6/03/2019;10:05 AM;Nicolas Salas ;1700;carrera 5 #18 39;67P7JW3H+9Q;;arepa de maiz con queso;;
Arepas;6/03/2019;10:10 AM;Nicolas Salas ;3500;Calle 17 #4-37;67P7JW2J+Q2;;arepa de queso , carne desmechada y jamon;;
Arepas;6/03/2019;10:10 AM;Nicolas Salas ;1500;Calle 17 #4-37;67P7JW2J+Q2;;arepa de queso;;
Arepas;6/03/2019;10:12 AM;Nicolas Salas ;1500;calle 17 #4-45;67P7JW2H+QX;;arepa de queso;;
Arepas;6/03/2019;10:16 AM;Nicolas Salas ;2800;calle 17 # 4-73;67P7JW2H+WQ;;arepa de huevo y carne;;
Arepas;6/03/2019;10:20 AM;Nicolas Salas ;1000;calle 17 #4-93;67P7JW3H+2J;;arepa de queso;;
Arepas;6/03/2019;10:27 AM;Nicolas Salas ;3500;calle 17 #4 7 / puesto de arepas;67P7JW3H+2J;;arepa de queso y chorizo;;
Arepas;6/03/2019;10:27 AM;Nicolas Salas ;1500;calle 17 #4 7 / puesto de arepas;67P7JW3H+2J;;arepa de queso;;
Arepas;6/03/2019;10:27 AM;Nicolas Salas ;2500;calle 17 #4 7 / puesto de arepas;67P7JW3H+2J;;arepa con chorizo;;
Arepas;6/03/2019;10:35 AM;Nicolas Salas ;2500;carrera 5 #16-45;67P7JW2H+VG;;arepa de huevo;;
Arepas;6/03/2019;10:42 AM;Nicolas Salas ;2200;Carrera 5 #16-39;67P7JW2H+RF;;arepa de queso;;
Arepas;6/03/2019;10:42 AM;Nicolas Salas ;5000;Carrera 5 #16-39;67P7JW2H+RF;;arepa de pollo;;
Arepas;6/03/2019;10:42 AM;Nicolas Salas ;5000;Carrera 5 #16-39;67P7JW2H+RF;;arepa de huevo;;
Arepas;6/03/2019;10:42 AM;Nicolas Salas ;5000;Carrera 5 #16-39;67P7JW2H+RF;;arepa de carne;;
