Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;Pcode
Papelería;27/02/2019;4:33:00 p m;Alejandro Preciado;100;Cra 5 #16-31;67P7W2H+WHJ;;;67P7W2H+WHJ
Papelería;27/02/2019;4:42:00 p m;Alejandro Preciado;100;Cra 7 #17-01;67P7JW3H+93P;;;67P7JW3H+93P
Papelería;27/02/2019;4:54:00 p m;Alejandro Preciado;100;Calle 19 #5-93;67P7JW3H+WHH;;;67P7JW3H+WHH
Papelería;27/02/2019;5:01:00 p m;Alejandro Preciado;100;Calle 19 #4-71;67P7JW3J+H3R;;;67P7JW3J+H3R
Papelería;27/02/2019;5:04:00 p m;Alejandro Preciado;100;Cra 4 #18-27;67P7JW3J+48G;;;67P7JW3J+48G
Papelería;27/02/2019;5:07:00 p m;Alejandro Preciado;100;Calle 19 #3A-37;67P7JW3J+7GV;;;67P7JW3J+7GV
Papelería;28/02/2019;9:23:00 a m;Sebastian Velez;200;Cra 3#22-40;67P7JW4M+87;;;67P7JW4M+87
Papelería;28/02/2019;9:25:00 a m;Sebastian Velez;200;Cra 3#20-73;67P7JW3J+RXX;;;67P7JW3J+RXX
Papelería;28/02/2019;9:28:00 a m;Sebastian Velez;;Calle 19 #3-16;67P7JW3J+8M7;No había nadie atendiendo;;67P7JW3J+8M7
Papelería;28/02/2019;9:30:00 a m;Sebastian Velez;200;cra 4 #20-15;67P7JW3J+RJ;;;67P7JW3J+RJ
Papelería;28/02/2019;9:40:00 a m;Sebastian Velez;100;cra 5 # 22-96;67P7JW5J+5G;;;67P7JW5J+5G
Papelería;28/02/2019;9:42:00 a m;Sebastian Velez;100;cra 5 # 22-64;67P7JW5J+3F;;;67P7JW5J+3F
Papelería;28/02/2019;9:44:00 a m;Sebastian Velez;100;cra 5 # 22-39;67P7JW4J+XC;;;67P7JW4J+XC
Papelería;28/02/2019;9:45:00 a m;Sebastian Velez;200;cra 5 # 22-21;67P7JW4J+V9;;;67P7JW4J+V9
Papelería;28/02/2019;9:47:00 a m;Sebastian Velez;200;cra 5 # 21-91;67P7JW4J+Q7;;;67P7JW4J+Q7
